id,cpu_request,mem_request,inter_arrival_us,life_time_us
instance_7722,48.0,200.0,131000000,128000000
instance_7743,96.0,480.0,83000000,224626000000
instance_7748,48.0,200.0,24000000,477220000000
instance_7720,48.0,200.0,31000000,120000000
instance_7745,64.0,320.0,178000000,15985000000
instance_7725,48.0,200.0,91000000,186483000000
instance_7770,48.0,200.0,11000000,129000000
instance_7746,48.0,240.0,97000000,1608134000000
instance_7750,64.0,320.0,42000000,68890000000
instance_7751,64.0,320.0,60000000,854701000000
instance_7752,12.0,120.0,110000000,2708000000
instance_7753,96.0,480.0,66000000,77256000000
instance_7754,64.0,320.0,3000000,18453000000
instance_7755,64.0,320.0,90000000,7475000000
instance_7756,96.0,480.0,184000000,862185000000
instance_7721,48.0,240.0,44000000,128000000
instance_7757,192.0,937.5,41000000,1061837000000
instance_7759,64.0,320.0,92000000,21562000000
instance_7760,64.0,320.0,31000000,75862000000
instance_7761,96.0,480.0,184000000,10902000000
instance_7762,64.0,320.0,85000000,21716000000
instance_7763,48.0,300.0,156000000,370322000000
instance_7769,48.0,200.0,211000000,79688000000
instance_7771,64.0,320.0,173000000,29454000000
instance_7772,64.0,320.0,90000000,33587000000
instance_7773,48.0,240.0,0,55192000000
instance_7776,96.0,480.0,2000000,10369000000
instance_7777,96.0,480.0,457000000,362412000000
instance_7778,64.0,320.0,21000000,46606000000
instance_7779,64.0,320.0,297000000,9009000000
instance_7780,96.0,480.0,93000000,4793000000
instance_7781,48.0,240.0,0,20875000000
instance_7783,64.0,320.0,357000000,9127000000
instance_7784,64.0,320.0,67000000,79126000000
instance_7785,48.0,200.0,177000000,132165000000
instance_7786,48.0,200.0,0,791111000000
instance_7788,48.0,240.0,209000000,1629994000000
instance_7789,48.0,240.0,1000000,35760000000
instance_7790,48.0,200.0,98000000,919000000
instance_7791,12.0,120.0,198000000,7470000000
instance_7792,96.0,480.0,23000000,1337000000
instance_7793,48.0,240.0,225000000,2688000000
instance_7794,48.0,240.0,0,47018000000
instance_7795,96.0,480.0,213000000,269616000000
instance_7796,8.0,40.0,672000000,5723000000
instance_7797,8.0,40.0,3000000,5647000000
instance_7798,64.0,320.0,641000000,7308000000
instance_7799,48.0,240.0,570000000,859947000000
instance_7800,48.0,240.0,390000000,44116000000
instance_7801,64.0,320.0,541000000,4539000000
instance_7802,64.0,320.0,0,5057000000
instance_7803,64.0,320.0,0,11770000000
instance_7804,64.0,320.0,0,15388000000
instance_7805,64.0,320.0,0,140356000000
instance_7806,96.0,480.0,0,4006000000
instance_7807,48.0,240.0,0,252350000000
instance_7808,64.0,320.0,265000000,7853000000
instance_7809,64.0,320.0,1000000,11504000000
instance_7810,48.0,200.0,244000000,951000000
instance_7811,48.0,240.0,240000000,6210000000
instance_7812,48.0,240.0,450000000,786199000000
