util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
105.0,4,32,8,4,20,nodes4_pods32_prio4_util105_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,34,0.3400,66,0.6600,0,0.0000,66,0.6600,0,0.0000,131762.0,1317.62,2.524,2.438,0.0252,0.0244
105.0,8,32,4,1,1,nodes8_pods32_prio1_util105_timeout01,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,1,0.0100,98,0.9800,99,0.9900,0,0.0000,167150.0,1671.5,10.646,10.275,0.1065,0.1028
105.0,8,32,4,1,10,nodes8_pods32_prio1_util105_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,1,0.0100,99,0.9900,100,1.0000,0,0.0000,1042180.0,10421.8,11.428,10.842,0.1143,0.1084
105.0,8,32,4,1,20,nodes8_pods32_prio1_util105_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,7,0.0700,93,0.9300,100,1.0000,0,0.0000,1975512.0,19755.12,11.458,10.867,0.1146,0.1087
105.0,8,32,4,2,1,nodes8_pods32_prio2_util105_timeout01,100,100,0,0.0000,100,1.0000,7,0.0700,13,0.1300,24,0.2400,56,0.5600,80,0.8000,0,0.0000,143671.0,1436.71,4.999,4.64,0.05,0.0464
105.0,8,32,4,2,10,nodes8_pods32_prio2_util105_timeout10,100,100,0,0.0000,100,1.0000,2,0.0200,16,0.1600,50,0.5000,32,0.3200,82,0.8200,0,0.0000,488138.0,4881.38,5.403,5.023,0.054,0.0502
105.0,8,32,4,2,20,nodes8_pods32_prio2_util105_timeout20,100,100,0,0.0000,100,1.0000,1,0.0100,18,0.1800,59,0.5900,22,0.2200,81,0.8100,0,0.0000,713659.0,7136.59,5.386,4.894,0.0539,0.0489
105.0,8,32,4,4,1,nodes8_pods32_prio4_util105_timeout01,100,100,0,0.0000,100,1.0000,11,0.1100,29,0.2900,42,0.4200,18,0.1800,60,0.6000,0,0.0000,120820.0,1208.2,2.488,1.946,0.0249,0.0195
105.0,8,32,4,4,10,nodes8_pods32_prio4_util105_timeout10,100,100,0,0.0000,100,1.0000,7,0.0700,30,0.3000,61,0.6100,2,0.0200,63,0.6300,0,0.0000,163957.0,1639.57,2.58,2.062,0.0258,0.0206
105.0,8,32,4,4,20,nodes8_pods32_prio4_util105_timeout20,100,100,0,0.0000,100,1.0000,6,0.0600,33,0.3300,59,0.5900,2,0.0200,61,0.6100,0,0.0000,200518.0,2005.18,2.59,2.19,0.0259,0.0219
